#bioname	bioname_parent	base	acid	base_parent	acid_parent	inconsistency	null	null	base_n	acid_n	base_parent_n	acid_parent_n	type_n
a fatty acyl-AMP	a ribonucleoside 5'-phosphate	CHEBI:83622	CHEBI:83621	CHEBI:58043	CHEBI:17188	left_incomplete	$null$	$null$	fatty acyl-AMP(1-)	fatty acyl-AMP	nucleoside 5'-monophosphate(2-)	nucleoside 5'-monophosphate	$null$
cyclohexylsulfamate	a sulfamate	CHEBI:57592	CHEBI:15964	CHEBI:131822	CHEBI:35719	left_incomplete	$null$	$null$	cyclohexylsulfamate	cyclohexylsulfamic acid	sulfamate	sulfamic acids	$null$
succinamate	a monoamide of a dicarboxylate	CHEBI:143136	CHEBI:50398	CHEBI:77450	CHEBI:35735	left_incomplete	$null$	$null$	succinamate	succinamic acid	dicarboxylic acid monoamide(1-)	dicarboxylic acid monoamide	$null$
a (3E,5Z)-dienoyl-CoA	a fatty acyl-CoA	CHEBI:85110	CHEBI:85559	CHEBI:77636	CHEBI:37554	left_incomplete	$null$	$null$	(3E,5Z)-dienoyl-CoA(4-)	(3E,5Z)-dienoyl-CoA	fatty acyl-CoA(4-)	fatty acyl-CoA	$null$
(R)-10-hydroxyoctadecanoate	a long-chain fatty acid	CHEBI:15683	CHEBI:33197	CHEBI:57560	CHEBI:15904	left_incomplete	$null$	$null$	(R)-10-hydroxyoctadecanoate	(R)-10-hydroxyoctadecanoic acid	long-chain fatty acid anion	long-chain fatty acid	$null$
(S)-mandelate	a (2S)-2-hydroxycarboxylate	CHEBI:17756	CHEBI:32800	CHEBI:58123	CHEBI:17375	left_incomplete	$null$	$null$	(S)-mandelate	(S)-mandelic acid	(2S)-2-hydroxy monocarboxylic acid anion	(2S)-2-hydroxy monocarboxylic acid	$null$
1-hydroxy-2-naphthoate	an aromatic carboxylate	CHEBI:15992	CHEBI:36108	CHEBI:91007	CHEBI:33859	left_incomplete	$null$	$null$	1-hydroxy-2-naphthoate	1-hydroxy-2-naphthoic acid	aromatic carboxylate	aromatic carboxylic acid	$null$
8,9-dihydroxy-(5Z,11Z,14Z)-eicosatrienoate	a hydroxy polyunsaturated fatty acid	CHEBI:84032	CHEBI:63970	CHEBI:131871	CHEBI:140345	left_incomplete	$null$	$null$	(5Z,11Z,14Z)-8,9-dihydroxyicosatrienoate	(5Z,11Z,14Z)-8,9-dihydroxyicosatrienoic acid	hydroxy polyunsaturated fatty acid anion	hydroxy polyunsaturated fatty acid	$null$
(4R,5S)-dethiobiotin	dethiobiotin	CHEBI:149473	CHEBI:42280	CHEBI:57861	CHEBI:16691	left_incomplete	$null$	$null$	(4R,5S)-dethiobiotin(1-)	(4R,5S)-dethiobiotin	dethiobiotin(1-)	dethiobiotin	$null$
P(1),P(4)-bis(5'-guanosyl) tetraphosphate	a nucleoside 5'-phosphate	CHEBI:57553	CHEBI:15883	CHEBI:57867	CHEBI:16701	left_incomplete	$null$	$null$	P(1),P(4)-bis(5'-guanosyl) tetraphosphate(4-)	P(1),P(4)-bis(5'-guanosyl) tetraphosphate	nucleoside 5'-phosphate dianion	nucleoside 5'-phosphate	$null$
CDP	a nucleoside 5'-phosphate	CHEBI:58069	CHEBI:17239	CHEBI:57867	CHEBI:16701	left_incomplete	$null$	$null$	CDP(3-)	CDP	nucleoside 5'-phosphate dianion	nucleoside 5'-phosphate	$null$
5-methyl-UMP	a nucleoside 5'-phosphate	CHEBI:142797	CHEBI:45394	CHEBI:57867	CHEBI:16701	left_incomplete	$null$	$null$	TMP(2-)	TMP	nucleoside 5'-phosphate dianion	nucleoside 5'-phosphate	$null$
4-maleylacetoacetate	oxo dicarboxylic acid	CHEBI:17105	CHEBI:47904	CHEBI:133294	CHEBI:36145	left_incomplete	$null$	$null$	4-maleylacetoacetate	4-maleylacetoacetic acid	oxo dicarboxylic acid dianion	oxo dicarboxylic acid	$null$
3-oxoadipate	oxo dicarboxylic acid	CHEBI:15775	CHEBI:37440	CHEBI:133294	CHEBI:36145	left_incomplete	$null$	$null$	3-oxoadipate(2-)	3-oxoadipic acid	oxo dicarboxylic acid dianion	oxo dicarboxylic acid	$null$
2-hydroxy-3-(3-oxoprop-1-enyl)but-2-enedioate	a monocarboxylate	CHEBI:58346	CHEBI:18003	CHEBI:35757	CHEBI:25384	left_incomplete	$null$	$null$	2-hydroxy-3-(3-oxoprop-1-enyl)but-2-enedioate	2-hydroxy-3-(3-oxoprop-1-enyl)but-2-enedioic acid	monocarboxylic acid anion	monocarboxylic acid	$null$
4-carboxy-2-hydroxy-cis,cis-muconate 6-semialdehyde	a monocarboxylate	CHEBI:58358	CHEBI:18046	CHEBI:35757	CHEBI:25384	left_incomplete	$null$	$null$	4-carboxy-2-hydroxy-cis,cis-muconate 6-semialdehyde(2-)	4-carboxy-2-hydroxy-cis,cis-muconate 6-semialdehyde	monocarboxylic acid anion	monocarboxylic acid	$null$
resolvin D1	a hydroxy polyunsaturated fatty acid	CHEBI:132079	CHEBI:81564	CHEBI:131871	CHEBI:140345	left_incomplete	$null$	$null$	resolvin D1(1-)	resolvin D1	hydroxy polyunsaturated fatty acid anion	hydroxy polyunsaturated fatty acid	$null$
a 2'-deoxyribonucleoside 3'-phosphate	a nucleoside 3'-phosphate	CHEBI:131705	CHEBI:19252	CHEBI:66949	CHEBI:16492	left_incomplete	$null$	$null$	2'-deoxynucleoside 3'-monophosphate(2-)	2'-deoxyribonucleoside 3'-monophosphate	nucleoside 3'-phosphate(2-)	nucleoside 3'-phosphate	$null$
dTDP	a nucleoside 5'-phosphate	CHEBI:58369	CHEBI:18075	CHEBI:57867	CHEBI:16701	left_incomplete	$null$	$null$	dTDP(3-)	dTDP	nucleoside 5'-phosphate dianion	nucleoside 5'-phosphate	$null$
a 2'-deoxyribonucleoside 3'-phosphate	a ribonucleoside 5'-phosphate	CHEBI:131705	CHEBI:19252	CHEBI:58043	CHEBI:17188	left_incomplete	$null$	$null$	2'-deoxynucleoside 3'-monophosphate(2-)	2'-deoxyribonucleoside 3'-monophosphate	nucleoside 5'-monophosphate(2-)	nucleoside 5'-monophosphate	$null$
N-(12S)-hydroperoxy-(5Z,8Z,10E,14Z)-eicosatetraenoyl-glycine	an N-acylglycine	CHEBI:132073	CHEBI:132725	CHEBI:57670	CHEBI:16180	left_incomplete	$null$	$null$	N-[(12S)-hydroperoxy-(5Z,8Z,10E,14Z)-icosatetraenoyl]glycinate	N-[(12S)-hydroperoxy-(5Z,8Z,10E,14Z)-icosatetraenoyl]glycine	N-acylglycinate	N-acylglycine	$null$
N-(15S)-hydroperoxy-(5Z,8Z,11Z,13E)-eicosatetraenoyl-glycine	an N-acylglycine	CHEBI:132076	CHEBI:132738	CHEBI:57670	CHEBI:16180	left_incomplete	$null$	$null$	N-[(15S)-hydroperoxy-(5Z,8Z,11Z,13E)-icosatetraenoyl]glycinate	N-[(15S)-hydroperoxy-(5Z,8Z,11Z,13E)-icosatetraenoyl]glycine	N-acylglycinate	N-acylglycine	$null$
omega-dicarboxyl-CoA	an acyl-CoA	CHEBI:133241	CHEBI:37555	CHEBI:58342	CHEBI:17984	left_incomplete	$null$	$null$	omega-carboxyacyl-CoA(5-)	omega-carboxyacyl-CoA	acyl-CoA(4-)	acyl-CoA	$null$
5-methyldeoxycytidine 5'-phosphate	a 2'-deoxyribonucleoside 5'-phosphate	CHEBI:57886	CHEBI:16764	CHEBI:65317	CHEBI:18241	left_incomplete	$null$	$null$	2'-deoxy-5-methyl-5'-cytidylate(2-)	2'-deoxy-5-methyl-5'-cytidylic acid	2'-deoxynucleoside 5'-monophosphate(2-)	2'-deoxyribonucleoside 5'-monophosphate	$null$
3,4-dihydroxyphthalate	an aromatic carboxylate	CHEBI:58137	CHEBI:17416	CHEBI:91007	CHEBI:33859	left_incomplete	$null$	$null$	3,4-dihydroxyphthalate(2-)	3,4-dihydroxyphthalic acid	aromatic carboxylate	aromatic carboxylic acid	$null$
3-bromo-4-hydroxybenzoate	an aromatic carboxylate	CHEBI:140203	CHEBI:140241	CHEBI:91007	CHEBI:33859	left_incomplete	$null$	$null$	3-bromo-4-hydroxybenzoate	3-bromo-4-hydroxybenzoic acid	aromatic carboxylate	aromatic carboxylic acid	$null$
3-bromo-4,5-dihydroxybenzoate	an aromatic carboxylate	CHEBI:140211	CHEBI:140242	CHEBI:91007	CHEBI:33859	left_incomplete	$null$	$null$	3-bromo-4,5-dihydroxybenzoate	3-bromo-4,5-dihydroxybenzoic acid	aromatic carboxylate	aromatic carboxylic acid	$null$
4-(2-aminophenyl)-2,4-dioxobutanoate	a 2-oxocarboxylate	CHEBI:58147	CHEBI:17442	CHEBI:35179	CHEBI:35910	left_incomplete	$null$	$null$	4-(2-aminophenyl)-2,4-dioxobutanoate	4-(2-aminophenyl)-2,4-dioxobutanoic acid	2-oxo monocarboxylic acid anion	2-oxo monocarboxylic acid	$null$
phosphinomethylisomalate	a 2-hydroxydicarboxylate	CHEBI:131650	CHEBI:131959	CHEBI:167114	CHEBI:50263	left_incomplete	$null$	$null$	phosphinomethylisomalate(3-)	phosphinomethylisomalic acid	2-hydroxydicarboxylate(2-)	2-hydroxydicarboxylic acid	$null$
(2E,5Z)-octadienoyl-CoA	a medium-chain fatty acyl-CoA	CHEBI:131990	CHEBI:132271	CHEBI:90546	CHEBI:61907	left_incomplete	$null$	$null$	(2E,5Z)-octadienoyl-CoA(4-)	(2E,5Z)-octadienoyl-CoA	medium-chain fatty acyl-CoA(4-)	medium-chain fatty acyl-CoA	$null$
8-oxoresolvin D1	a hydroxy polyunsaturated fatty acid	CHEBI:132080	CHEBI:132797	CHEBI:131871	CHEBI:140345	left_incomplete	$null$	$null$	8-oxoresolvin D1(1-)	8-oxoresolvin D1	hydroxy polyunsaturated fatty acid anion	hydroxy polyunsaturated fatty acid	$null$
17-oxoresolvin D1	a hydroxy polyunsaturated fatty acid	CHEBI:132081	CHEBI:132800	CHEBI:131871	CHEBI:140345	left_incomplete	$null$	$null$	17-oxoresolvin D1(1-)	17-oxoresolvin D1	hydroxy polyunsaturated fatty acid anion	hydroxy polyunsaturated fatty acid	$null$
(18S)-hydroxy-(5Z,8Z,11Z,14Z,16E)-eicosapentaenoate	a hydroxy polyunsaturated fatty acid	CHEBI:132083	CHEBI:132801	CHEBI:131871	CHEBI:140345	left_incomplete	$null$	$null$	18(S)-HEPE(1-)	18(S)-HEPE	hydroxy polyunsaturated fatty acid anion	hydroxy polyunsaturated fatty acid	$null$
diisopropyl phosphate	a dialkyl phosphate	CHEBI:57896	CHEBI:16785	CHEBI:138518	CHEBI:16648	left_incomplete	$null$	$null$	diisopropyl phosphate(1-)	diisopropyl hydrogen phosphate	dialkyl phosphate(1-)	dialkyl phosphate	$null$
dCMP	a nucleoside 5'-phosphate	CHEBI:57566	CHEBI:15918	CHEBI:57867	CHEBI:16701	left_incomplete	$null$	$null$	2'-deoxycytosine 5'-monophosphate(2-)	2'-deoxycytosine 5'-monophosphate	nucleoside 5'-phosphate dianion	nucleoside 5'-phosphate	$null$
IMP	a nucleoside 5'-phosphate	CHEBI:58053	CHEBI:17202	CHEBI:57867	CHEBI:16701	left_incomplete	$null$	$null$	IMP(2-)	IMP	nucleoside 5'-phosphate dianion	nucleoside 5'-phosphate	$null$
3'-L-prolyl-AMP	a nucleoside 5'-phosphate	CHEBI:140179	CHEBI:131572	CHEBI:57867	CHEBI:16701	left_incomplete	$null$	$null$	3'-L-prolyl-AMP(1-)	3'-L-prolyl-AMP	nucleoside 5'-phosphate dianion	nucleoside 5'-phosphate	$null$
5-methyldeoxycytidine 5'-phosphate	a nucleoside 5'-phosphate	CHEBI:57886	CHEBI:16764	CHEBI:57867	CHEBI:16701	left_incomplete	$null$	$null$	2'-deoxy-5-methyl-5'-cytidylate(2-)	2'-deoxy-5-methyl-5'-cytidylic acid	nucleoside 5'-phosphate dianion	nucleoside 5'-phosphate	$null$
2-methylpropanoyl phosphate	an acyl phosphate	CHEBI:58131	CHEBI:17402	CHEBI:59918	CHEBI:16826	left_incomplete	$null$	$null$	2-methylpropanoyl phosphate(2-)	2-methylpropanoyl phosphate	acyl monophosphate(2-)	acyl monophosphate	$null$
dCMP	a ribonucleoside 5'-phosphate	CHEBI:57566	CHEBI:15918	CHEBI:58043	CHEBI:17188	left_incomplete	$null$	$null$	2'-deoxycytosine 5'-monophosphate(2-)	2'-deoxycytosine 5'-monophosphate	nucleoside 5'-monophosphate(2-)	nucleoside 5'-monophosphate	$null$
3'-L-prolyl-AMP	a ribonucleoside 5'-phosphate	CHEBI:140179	CHEBI:131572	CHEBI:58043	CHEBI:17188	left_incomplete	$null$	$null$	3'-L-prolyl-AMP(1-)	3'-L-prolyl-AMP	nucleoside 5'-monophosphate(2-)	nucleoside 5'-monophosphate	$null$
5-methyldeoxycytidine 5'-phosphate	a ribonucleoside 5'-phosphate	CHEBI:57886	CHEBI:16764	CHEBI:58043	CHEBI:17188	left_incomplete	$null$	$null$	2'-deoxy-5-methyl-5'-cytidylate(2-)	2'-deoxy-5-methyl-5'-cytidylic acid	nucleoside 5'-monophosphate(2-)	nucleoside 5'-monophosphate	$null$
3-D-glucuronosyl-N(2),6-disulfo-beta-D-glucosamine	a sulfamate	CHEBI:58150	CHEBI:17446	CHEBI:131822	CHEBI:35719	left_incomplete	$null$	$null$	3-D-glucuronosyl-N(2),6-disulfonato-beta-D-glucosamine(3-)	3-D-glucuronosyl-N(2),6-disulfo-beta-D-glucosamine	sulfamate	sulfamic acids	$null$
cis-4-coumarate	4-coumarate	CHEBI:58152	CHEBI:17450	CHEBI:32373	CHEBI:36090	left_incomplete	$null$	$null$	cis-4-coumarate	cis-4-coumaric acid	4-coumarate	4-coumaric acid	$null$
N-(4-carboxy-4-oxobutanoyl)-L-ethylglycylglycine	oxo dicarboxylic acid	CHEBI:144697	CHEBI:145231	CHEBI:133294	CHEBI:36145	left_incomplete	$null$	$null$	N-(4-carboxy-4-oxobutanoyl)-L-ethylglycylglycine(2-)	N-(4-carboxy-4-oxobutanoyl)-L-ethylglycylglycine	oxo dicarboxylic acid dianion	oxo dicarboxylic acid	$null$
21-phosphorifampicin	a phosphate monoester	CHEBI:140195	CHEBI:140276	CHEBI:67140	CHEBI:7794	left_incomplete	$null$	$null$	21-phosphorifampicin(2-)	21-phosphorifampicin	phosphate monoester dianion	phosphate monoester	$null$
1D-myo-inositol hexakisphosphate	a myo-inositol phosphate	CHEBI:58130	CHEBI:17401	CHEBI:84139	CHEBI:25448	left_incomplete	$null$	$null$	myo-inositol hexakisphosphate(12-)	myo-inositol hexakisphosphate	myo-inositol phosphate(2-)	myo-inositol phosphate	$null$
3-carboxy-2,5-dihydro-5-oxofuran-2-acetate	a monocarboxylate	CHEBI:57976	CHEBI:16989	CHEBI:35757	CHEBI:25384	left_incomplete	$null$	$null$	2-(carboxylatomethyl)-5-oxo-2,5-dihydrofuran-2-ide-3-carboxylate	2-(carboxymethyl)-5-oxo-2,5-dihydro-3-furoic acid	monocarboxylic acid anion	monocarboxylic acid	$null$
2-(carboxymethyl)-5-oxo-2,5-dihydro-2-furoate	a monocarboxylate	CHEBI:57979	CHEBI:16993	CHEBI:35757	CHEBI:25384	left_incomplete	$null$	$null$	2-(carboxylatomethyl)-5-oxo-2,5-dihydro-2-furoate(2-)	2-(carboxymethyl)-5-oxo-2,5-dihydro-2-furoic acid	monocarboxylic acid anion	monocarboxylic acid	$null$
2-dehydro-3-deoxy-D-galactonate	a monocarboxylate	CHEBI:57989	CHEBI:17028	CHEBI:35757	CHEBI:25384	left_incomplete	$null$	$null$	2-dehydro-3-deoxy-D-galactonate	2-dehydro-3-deoxy-D-galactonic acid	monocarboxylic acid anion	monocarboxylic acid	$null$
D-threonate	a fatty acid	CHEBI:45912	CHEBI:49059	CHEBI:28868	CHEBI:35366	left_incomplete	$null$	$null$	D-threonate	D-threonic acid	fatty acid anion	fatty acid	$null$
2-hydroxyhepta-2,4-dienedioate	a polyunsaturated dicarboxylic fatty acid	CHEBI:78626	CHEBI:1162	CHEBI:133492	CHEBI:134531	left_incomplete	$null$	$null$	2-hydroxyhepta-2,4-dienedioate	2-hydroxyhepta-2,4-dienedioic acid	polyunsaturated dicarboxylic acid dianion	polyunsaturated dicarboxylic acid	$null$
2-methylbut-2-enoyl-CoA	a 2,3-dehydroacyl-CoA	CHEBI:57260	CHEBI:11614	CHEBI:60015	CHEBI:15469	left_incomplete	$null$	$null$	2-methylbut-2-enoyl-CoA(4-)	2-methylbut-2-enoyl-coenzyme A	2,3-dehydroacyl-CoA(4-)	alk-2-enoyl-CoA	$null$
3-oxopristanoyl-CoA	a 3-oxo-fatty acyl-CoA	CHEBI:57291	CHEBI:15371	CHEBI:57347	CHEBI:15489	left_incomplete	$null$	$null$	3-oxopristanoyl-CoA(4-)	3-oxopristanoyl-CoA	3-oxo-fatty acyl-CoA(4-)	3-oxo-fatty acyl-CoA	$null$
(2Z,6E,10E)-geranylgeranyl diphosphate	geranylgeranyl diphosphate	CHEBI:62639	CHEBI:10698	CHEBI:57533	CHEBI:15831	left_incomplete	$null$	$null$	2-cis,6-trans,10-trans-geranylgeranyl diphosphate(3-)	2-cis,6-trans,10-trans-geranylgeranyl diphosphate	geranylgeranyl diphosphate(3-)	geranylgeranyl diphosphate	$null$
13-hydroxydocosanoate	a long-chain fatty acid	CHEBI:11320	CHEBI:17314	CHEBI:57560	CHEBI:15904	left_incomplete	$null$	$null$	13-hydroxydocosanoate	13-hydroxydocosanoic acid	long-chain fatty acid anion	long-chain fatty acid	$null$
2-deoxy-D-ribose 5-phosphate	aldehydo-2-deoxy-D-ribose 5-phosphate	CHEBI:62877	CHEBI:55513	CHEBI:57651	CHEBI:16132	left_incomplete	$null$	$null$	2-deoxy-D-ribofuranose 5-phosphate(2-)	2-deoxy-D-ribofuranose 5-phosphate	2-deoxy-D-ribose 5-phosphate(2-)	2-deoxy-D-ribose 5-phosphate	$null$
(R)-2-benzylsuccinyl-CoA	an acyl-CoA	CHEBI:57253	CHEBI:10970	CHEBI:58342	CHEBI:17984	left_incomplete	$null$	$null$	(R)-2-benzylsuccinyl-CoA(5-)	(R)-2-benzylsuccinyl-CoA	acyl-CoA(4-)	acyl-CoA	$null$
2-deoxy-alpha-D-ribose 1-phosphate	2-deoxy-D-ribose 1-phosphate	CHEBI:57259	CHEBI:11563	CHEBI:58576	CHEBI:28542	left_incomplete	$null$	$null$	2-deoxy-alpha-D-ribose 1-phosphate(2-)	2-deoxy-alpha-D-ribose 1-phosphate	2-deoxy-D-ribofuranose 1-phosphate(2-)	2-deoxy-D-ribofuranose 1-phosphate	$null$
2-(3,4-dihydroxybenzoyloxy)-4,6-dihydroxybenzoate	an aromatic carboxylate	CHEBI:57628	CHEBI:16068	CHEBI:91007	CHEBI:33859	left_incomplete	$null$	$null$	2-(3,4-dihydroxybenzoyloxy)-4,6-dihydroxybenzoate	2-(3,4-dihydroxybenzoyloxy)-4,6-dihydroxybenzoic acid	aromatic carboxylate	aromatic carboxylic acid	$null$
2-ethylhexyl phthalate	an aromatic carboxylate	CHEBI:58071	CHEBI:17243	CHEBI:91007	CHEBI:33859	left_incomplete	$null$	$null$	mono(2-ethylhexyl) phthalate(1-)	mono(2-ethylhexyl) phthalate	aromatic carboxylate	aromatic carboxylic acid	$null$
1,4-dihydroxy-2-naphthoate	an aromatic carboxylate	CHEBI:11173	CHEBI:18094	CHEBI:91007	CHEBI:33859	left_incomplete	$null$	$null$	1,4-dihydroxy-2-naphthoate	1,4-dihydroxy-2-naphthoic acid	aromatic carboxylate	aromatic carboxylic acid	$null$
4-aminobenzoate	an aromatic carboxylate	CHEBI:17836	CHEBI:30753	CHEBI:91007	CHEBI:33859	left_incomplete	$null$	$null$	4-aminobenzoate	4-aminobenzoic acid	aromatic carboxylate	aromatic carboxylic acid	$null$
3-methylorsellinate	an aromatic carboxylate	CHEBI:146372	CHEBI:146309	CHEBI:91007	CHEBI:33859	left_incomplete	$null$	$null$	3-methylorsellinate	3-methylorsellinic acid	aromatic carboxylate	aromatic carboxylic acid	$null$
(R)-2-benzylsuccinyl-CoA	omega-dicarboxyl-CoA	CHEBI:57253	CHEBI:10970	CHEBI:133241	CHEBI:37555	left_incomplete	$null$	$null$	(R)-2-benzylsuccinyl-CoA(5-)	(R)-2-benzylsuccinyl-CoA	omega-carboxyacyl-CoA(5-)	omega-carboxyacyl-CoA	$null$
2-hydroxyadipate	a 2-hydroxydicarboxylate	CHEBI:57987	CHEBI:17023	CHEBI:167114	CHEBI:50263	left_incomplete	$null$	$null$	2-hydroxyadipate(2-)	2-hydroxyadipic acid	2-hydroxydicarboxylate(2-)	2-hydroxydicarboxylic acid	$null$
10-hydroxydecanoate	a medium chain fatty acid	CHEBI:11305	CHEBI:17409	CHEBI:59558	CHEBI:59554	left_incomplete	$null$	$null$	10-hydroxycaprate	10-hydroxycapric acid	medium-chain fatty acid anion	medium-chain fatty acid	$null$
(2E)-2-hydroxypenta-2,4-dienoate	a hydroxy polyunsaturated fatty acid	CHEBI:60886	CHEBI:1113	CHEBI:131871	CHEBI:140345	left_incomplete	$null$	$null$	(2E)-2-hydroxypenta-2,4-dienoate	cis-2-hydroxypenta-2,4-dienoic acid	hydroxy polyunsaturated fatty acid anion	hydroxy polyunsaturated fatty acid	$null$
2-hydroxypenta-2,4-dienoate	a hydroxy polyunsaturated fatty acid	CHEBI:37319	CHEBI:18355	CHEBI:131871	CHEBI:140345	left_incomplete	$null$	$null$	2-hydroxypenta-2,4-dienoate	2-hydroxypenta-2,4-dienoic acid	hydroxy polyunsaturated fatty acid anion	hydroxy polyunsaturated fatty acid	$null$
(5,12,18R)-trihydroxy-(6Z,8E,10E,14Z,16E)-eicosapentaenoate	a hydroxy polyunsaturated fatty acid	CHEBI:133822	CHEBI:136359	CHEBI:131871	CHEBI:140345	left_incomplete	$null$	$null$	(6Z,8E,10E,14Z,16E,18R)-5,12,18-trihydroxyicosapentaenoate	(6Z,8E,10E,14Z,16E,18R)-5,12,18-trihydroxyicosapentaenoic acid	hydroxy polyunsaturated fatty acid anion	hydroxy polyunsaturated fatty acid	$null$
(2Z,6E,10E)-geranylgeranyl diphosphate	a polyprenol phosphate	CHEBI:62639	CHEBI:10698	CHEBI:157763	CHEBI:16460	left_incomplete	$null$	$null$	2-cis,6-trans,10-trans-geranylgeranyl diphosphate(3-)	2-cis,6-trans,10-trans-geranylgeranyl diphosphate	polyprenol phosphate anion	polyprenol phosphate	$null$
alpha-D-galactosyl-all-trans-undecaprenyl diphosphate	a polyprenol phosphate	CHEBI:57617	CHEBI:16046	CHEBI:157763	CHEBI:16460	left_incomplete	$null$	$null$	alpha-D-galactosyl undecaprenyl diphosphate(2-)	alpha-D-galactosyl undecaprenyl diphosphate	polyprenol phosphate anion	polyprenol phosphate	$null$
3-hydroxy-4-methylanthranilyl-5'-AMP	a nucleoside 5'-phosphate	CHEBI:91232	CHEBI:112505	CHEBI:57867	CHEBI:16701	left_incomplete	$null$	$null$	2-amino-3-hydroxy-4-methylbenzoyl-AMP(1-)	2-amino-3-hydroxy-4-methylbenzoyl-AMP	nucleoside 5'-phosphate dianion	nucleoside 5'-phosphate	$null$
dCDP	a nucleoside 5'-phosphate	CHEBI:58593	CHEBI:28846	CHEBI:57867	CHEBI:16701	left_incomplete	$null$	$null$	dCDP(3-)	dCDP	nucleoside 5'-phosphate dianion	nucleoside 5'-phosphate	$null$
(2R)-3-phospho-glyceroyl phosphate	an acyl phosphate	CHEBI:57604	CHEBI:16001	CHEBI:59918	CHEBI:16826	left_incomplete	$null$	$null$	3-phosphonato-D-glyceroyl phosphate(4-)	3-phospho-D-glyceroyl dihydrogen phosphate	acyl monophosphate(2-)	acyl monophosphate	$null$
butanoyl phosphate	an acyl phosphate	CHEBI:58079	CHEBI:17260	CHEBI:59918	CHEBI:16826	left_incomplete	$null$	$null$	butanoyl phosphate(2-)	butanoyl dihydrogen phosphate	acyl monophosphate(2-)	acyl monophosphate	$null$
dCDP	a ribonucleoside 5'-diphosphate	CHEBI:58593	CHEBI:28846	CHEBI:57930	CHEBI:16862	left_incomplete	$null$	$null$	dCDP(3-)	dCDP	nucleoside 5'-diphosphate(3-)	nucleoside diphosphate	$null$
3-hydroxy-4-methylanthranilyl-5'-AMP	a ribonucleoside 5'-phosphate	CHEBI:91232	CHEBI:112505	CHEBI:58043	CHEBI:17188	left_incomplete	$null$	$null$	2-amino-3-hydroxy-4-methylbenzoyl-AMP(1-)	2-amino-3-hydroxy-4-methylbenzoyl-AMP	nucleoside 5'-monophosphate(2-)	nucleoside 5'-monophosphate	$null$
3',5'-cyclic CMP	a nucleoside 3',5'-cyclic phosphate	CHEBI:58003	CHEBI:17065	CHEBI:58464	CHEBI:18375	left_incomplete	$null$	$null$	3',5'-cyclic CMP(1-)	3',5'-cyclic CMP	nucleoside 3',5'-cyclic phosphate anion	nucleoside 3',5'-cyclic phosphate	$null$
N-acetyl-D-leucine	an N-acetyl-D-amino acid	CHEBI:145946	CHEBI:146296	CHEBI:58496	CHEBI:21501	left_incomplete	$null$	$null$	N-acetyl-D-leucinate	N-acetyl-D-leucine	N-acetyl-D-amino acid anion	N-acetyl-D-amino acid	$null$
3alpha-hydroxy-5alpha-androstane 17-O-(beta-D-glucuronate)	steroid glucuronate	CHEBI:133519	CHEBI:133517	CHEBI:136637	CHEBI:26763	left_incomplete	$null$	$null$	5alpha-androstane-3alpha,17beta-diol 17-glucosiduronate	5alpha-androstane-3alpha,17beta-diol 17-glucosiduronic acid	steroid glucosiduronic acid anion	steroid glucosiduronic acid	$null$
3-oxopristanoyl-CoA	a long-chain fatty acyl-CoA	CHEBI:57291	CHEBI:15371	CHEBI:83139	CHEBI:33184	left_incomplete	$null$	$null$	3-oxopristanoyl-CoA(4-)	3-oxopristanoyl-CoA	long-chain fatty acyl-CoA(4-)	long-chain fatty acyl-CoA	$null$
maleylacetate	oxo dicarboxylic acid	CHEBI:16468	CHEBI:1184	CHEBI:133294	CHEBI:36145	left_incomplete	$null$	$null$	maleylacetate	maleylacetic acid	oxo dicarboxylic acid dianion	oxo dicarboxylic acid	$null$
2-hydroxy-3-oxoadipate	oxo dicarboxylic acid	CHEBI:57712	CHEBI:16278	CHEBI:133294	CHEBI:36145	left_incomplete	$null$	$null$	2-hydroxy-3-oxoadipate(2-)	2-hydroxy-3-oxoadipic acid	oxo dicarboxylic acid dianion	oxo dicarboxylic acid	$null$
3-hydroxy-3-(4-hydroxy-3-methoxyphenyl)propanoyl-CoA	a short-chain fatty acyl-CoA	CHEBI:58004	CHEBI:17068	CHEBI:137040	CHEBI:61905	left_incomplete	$null$	$null$	3-hydroxy-3-(4-hydroxy-3-methoxyphenyl)propanoyl-CoA(4-)	3-hydroxy-3-(4-hydroxy-3-methoxyphenyl)propanoyl-CoA	short chain fatty acyl-CoA(4-)	short-chain fatty acyl-CoA	$null$
(R)-3-hydroxybutanoate	an (omega-1)-hydroxy fatty acid	CHEBI:10983	CHEBI:17066	CHEBI:84497	CHEBI:78954	left_incomplete	$null$	$null$	(R)-3-hydroxybutyrate	(R)-3-hydroxybutyric acid	(omega-1)-hydroxy fatty acid anion	(omega-1)-hydroxy fatty acid	$null$
(S)-3-hydroxybutanoate	an (omega-1)-hydroxy fatty acid	CHEBI:11047	CHEBI:17290	CHEBI:84497	CHEBI:78954	left_incomplete	$null$	$null$	(S)-3-hydroxybutyrate	(S)-3-hydroxybutyric acid	(omega-1)-hydroxy fatty acid anion	(omega-1)-hydroxy fatty acid	$null$
